layer,cities->cities_acc,cities->cities_acc_lo,cities->cities_acc_hi,cities->cities_auc,cities->cities_auc_lo,cities->cities_auc_hi,cities->neg_cities_acc,cities->neg_cities_acc_lo,cities->neg_cities_acc_hi,cities->neg_cities_auc,cities->neg_cities_auc_lo,cities->neg_cities_auc_hi,neg_cities->neg_cities_acc,neg_cities->neg_cities_acc_lo,neg_cities->neg_cities_acc_hi,neg_cities->neg_cities_auc,neg_cities->neg_cities_auc_lo,neg_cities->neg_cities_auc_hi,neg_cities->cities_acc,neg_cities->cities_acc_lo,neg_cities->cities_acc_hi,neg_cities->cities_auc,neg_cities->cities_auc_lo,neg_cities->cities_auc_hi
10,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.13770053475935828,0.12165775401069519,0.15509692513368983,0.00013940919099774112,2.682150190947715e-05,0.000302185308187541,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.034759358288770054,0.02606951871657754,0.04411764705882353,0.00012689810975435406,2.502860411899306e-05,0.00028959947594460125
11,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.4017379679144385,0.37767379679144386,0.4244652406417112,0.0006094683862849955,0.0002717041455669048,0.0010872654486784909,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.05080213903743316,0.04077540106951872,0.06216577540106952,0.00048614487117161004,0.0001682013599675891,0.0009348088374968632
12,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.4979946524064171,0.47259358288770054,0.5247326203208557,0.0009740770396637034,0.00046288821173430815,0.0015885517210008943,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.07887700534759358,0.06483957219251336,0.0929144385026738,0.0007613886585261245,0.00021261713812563077,0.001589358356803553
13,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.5,0.4752673796791444,0.5254010695187166,0.0001286854070748382,2.8695723474624144e-05,0.00028073347990548387,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.008689839572192513,0.004662433155080229,0.014037433155080214,0.00021447567845806327,5.186135784664255e-05,0.00047424438205108426
14,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.5,0.4752673796791444,0.5280915775401069,0.003590680316852069,0.0017980333666315614,0.005833962701796339,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.01871657754010695,0.012032085561497326,0.02606951871657754,0.0016711229946524085,0.0007539607456015894,0.002661667162434774
15,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.5,0.4752673796791444,0.5247493315508022,0.05246075095084218,0.042926283486397813,0.06325543274588606,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.3135026737967914,0.2894385026737968,0.3355614973262032,0.001549586776859506,0.0007322203827415548,0.0025954107926051784
16,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.49866310160427807,0.472576871657754,0.5227439839572192,0.14328941348051133,0.12392519168470373,0.16118113759399527,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.0748663101604278,0.06216577540106952,0.08890374331550802,0.020328719723183397,0.014382281992988067,0.02646449313503916
17,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.4919786096256685,0.464572192513369,0.518048128342246,0.1482420143555721,0.13066367234655987,0.16822086759980506,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.5,0.4732620320855615,0.5260695187165776,0.10817974491692643,0.09274277779693621,0.12487155777309351
18,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.4338235294117647,0.4104110962566845,0.45788770053475936,0.11138347536389373,0.09531590214259883,0.12722823548496678,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.4946524064171123,0.4712399732620321,0.517379679144385,0.022225042180216772,0.015869125303582126,0.029581515837092117
19,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.49933155080213903,0.4752673796791444,0.5240808823529411,0.21004854299522435,0.18526462379728068,0.23414674208219446,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.48663101604278075,0.46390374331550804,0.5120487967914439,0.013876576396236682,0.009028416579384196,0.019763423738461138
20,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.4859625668449198,0.4605614973262032,0.510711898395722,0.14373623781063227,0.12468470130474275,0.16220741264877825,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.4913101604278075,0.4672292780748663,0.516042780748663,0.04082187079985129,0.03266876170143243,0.05035564229999129
21,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.5,0.47593582887700536,0.5254010695187166,0.06647494924075611,0.054798544558803175,0.08002644930098249,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.4899732620320856,0.46524064171123,0.5153910427807487,0.062371314592925164,0.05134843563663473,0.07455439479555734
22,0.9966666666666667,0.99,1.0,0.999910789954949,0.9995964426963433,1.0,0.49933155080213903,0.47459893048128343,0.5254177807486631,0.16866188624210013,0.14980930303354112,0.18821558297542504,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.48663101604278075,0.4625501336898396,0.5133689839572193,0.08958112899997141,0.07533399516004267,0.10450186938613445
23,0.9966666666666667,0.99,1.0,0.9998661849324234,0.9993720021520803,1.0,0.4979946524064171,0.4752506684491979,0.5227272727272727,0.19159291086390806,0.17070272960915664,0.21339423836806248,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.4939839572192513,0.4712399732620321,0.5173963903743315,0.14374606794589495,0.12511875709547948,0.16345138380021487
24,0.9966666666666667,0.9899166666666668,1.0,0.9995539497747447,0.9982169414341331,1.0,0.49933155080213903,0.473245320855615,0.5260862299465241,0.2250636277846092,0.20246513349009754,0.24826277918191897,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.4799465240641711,0.45454545454545453,0.5073529411764706,0.09715748234150248,0.08241533117847483,0.11347367908668608
25,0.9966666666666667,0.99,1.0,0.9995539497747447,0.9983877899500128,1.0,0.49933155080213903,0.47459893048128343,0.5254177807486631,0.2717085132545969,0.2473568197460502,0.29688963003231666,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.4839572192513369,0.4585561497326203,0.5106951871657754,0.09400647716548943,0.07973671088366818,0.10827069648455737
26,0.9933333333333333,0.9833333333333333,1.0,0.9997323698648468,0.9989262448501579,1.0,0.49933155080213903,0.4752673796791444,0.5247326203208557,0.27833759901627153,0.25376790057040555,0.30464453315136975,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.49264705882352944,0.4692513368983957,0.518048128342246,0.1146479739197575,0.09919856721748513,0.13162434122605146
27,0.9933333333333333,0.9833333333333333,1.0,0.9998215799098978,0.9993322090212049,1.0,0.49933155080213903,0.47192513368983957,0.5247493315508022,0.33358295919242753,0.30615979279052985,0.36204989022148804,0.9933333333333333,0.9833333333333333,1.0,1.0,0.9999999999999999,1.0,0.4552139037433155,0.428475935828877,0.48061497326203206,0.14776123137636193,0.13090763453912693,0.16584173235459
