direction,layer,pattern,mean_z_mean,mean_z_ci_lo,mean_z_ci_hi
or->and,10,TF,-0.46738412976264954,-0.6023394575861609,-0.33242880193913815
or->and,11,TF,0.17827331274747849,-0.044094264495257274,0.40064088999021424
or->and,12,TF,0.2348010003566742,0.05756680991416352,0.4120351907991849
or->and,13,TF,0.13722841888666154,-0.04377536465253906,0.31823220242586214
or->and,14,TF,0.455351859331131,0.2470176017072908,0.6636861169549712
or->and,15,TF,0.8730390667915344,0.6999974317361928,1.046080701846876
or->and,16,TF,0.9882125616073608,0.8237443777316165,1.1526807454831052
or->and,17,TF,1.1848727226257325,1.0627513486040718,1.3069940966473932
or->and,18,TF,1.2996536254882813,1.1949903891523386,1.404316861824224
or->and,19,TF,1.4433451175689698,1.2686958762299558,1.6179943589079837
or->and,20,TF,1.2965608596801759,1.1529561445809362,1.4401655747794155
or->and,21,TF,1.7365996599197389,1.5973749151155245,1.8758244047239532
or->and,22,TF,1.5404388427734375,1.3997001486876361,1.6811775368592388
or->and,23,TF,1.5246061563491822,1.3507575450532527,1.6984547676451116
or->and,24,TF,1.2197468042373658,1.0100316189494423,1.4294619895252894
or->and,25,TF,1.2271452307701112,0.9531900243861329,1.5011004371540895
or->and,26,TF,1.3289382219314576,0.9467610415909085,1.7111154022720068
or->and,27,TF,1.3349979877471925,0.9460271946057677,1.7239687808886173
or->and,0,FT,0.16146917194128035,0.10889990504527085,0.21403843883728985
or->and,1,FT,0.38946799039840696,0.29814016189625886,0.48079581890055506
or->and,2,FT,0.9625253677368164,0.7007724726463459,1.224278262827287
or->and,3,FT,1.3658261895179749,1.0321549765342193,1.6994974025017304
or->and,4,FT,1.0406116247177124,0.6191039635079238,1.462119285927501
or->and,5,FT,2.4854957103729247,2.158913705096341,2.8120777156495085
or->and,6,FT,1.8518675565719604,1.4512709853657981,2.252464127778123
or->and,7,FT,0.8255263328552246,0.4928865329499408,1.1581661327605084
or->and,8,FT,1.4718607306480407,0.9489172692901241,1.9948041920059572
or->and,9,FT,1.0124846816062927,0.5499553656280567,1.4750139975845287
or->and,10,FT,-0.11363312304019928,-0.2732615178708513,0.04599527179045275
or->and,11,FT,0.465614515542984,0.2501340453332748,0.6810949857526931
or->and,12,FT,0.4500597953796387,0.2648475015775021,0.6352720891817754
or->and,13,FT,0.5466609179973603,0.36576195166044756,0.727559884334273
or->and,14,FT,0.8840580940246582,0.6888719218818136,1.0792442661675028
or->and,15,FT,1.1975404739379882,1.0434492220120832,1.3516317258638932
or->and,16,FT,1.3161617040634155,1.185530117571742,1.4467932905550889
or->and,17,FT,1.4282758951187133,1.3225671658378522,1.5339846243995745
or->and,18,FT,1.448121762275696,1.345381945713454,1.5508615788379378
or->and,19,FT,1.5494477987289428,1.3944286788701192,1.7044669185877663
or->and,20,FT,1.322352910041809,1.1599571411526415,1.4847486789309765
or->and,21,FT,1.7021761894226075,1.5592229771798043,1.8451294016654107
or->and,22,FT,1.4974750518798827,1.3786367129762616,1.616313390783504
or->and,23,FT,1.3776103019714356,1.2242432564062726,1.5309773475365986
or->and,24,FT,1.1719777703285217,0.9830814195473808,1.3608741211096627
or->and,25,FT,1.2122174143791198,0.9735768695428154,1.450857959215424
or->and,26,FT,1.1846507787704468,0.8736800759557086,1.495621481585185
or->and,27,FT,1.171703827381134,0.8552020167742651,1.4882056379880029
or->and,0,FF,0.08351924866437913,0.049896701745413885,0.11714179558334437
or->and,1,FF,0.2638634890317917,0.18803281891010915,0.33969415915347423
or->and,2,FF,0.7039219617843628,0.46204678392720944,0.9457971396415162
or->and,3,FF,1.054430091381073,0.7492607805988976,1.3595994021632483
or->and,4,FF,0.6909458339214325,0.29113001507787906,1.090761652764986
or->and,5,FF,1.852572250366211,1.5464635874009134,2.1586809133315086
or->and,6,FF,1.0083174347877502,0.630616813633668,1.3860180559418325
or->and,7,FF,-0.2832700092345476,-0.5804255209642504,0.013885502495155133
or->and,8,FF,0.41768633723258974,-0.07048068116925343,0.9058533556344329
or->and,9,FF,0.11620345748960972,-0.32503270911271376,0.5574396240919333
or->and,10,FF,-1.5313539266586305,-1.6755995518578433,-1.3871083014594177
or->and,11,FF,-0.8600296020507813,-1.0677920263559928,-0.6522671777455699
or->and,12,FF,-0.8441445112228394,-1.026386806203637,-0.6619022162420418
or->and,13,FF,-0.8951840043067932,-1.0646872896047466,-0.7256807190088398
or->and,14,FF,-0.5494783163070679,-0.7411066278433235,-0.3578500047708123
or->and,15,FF,-0.329781973361969,-0.47158212749611594,-0.18798181922782212
