resample,b2_minus_b1_crossover_layer,ft_minus_tf_crossover_layer
384,18.15357666551867,18.597164250274222
385,18.18166064009091,18.021638196683547
386,17.9392630601275,18.319211750550817
387,17.97880529938964,18.321539551705627
388,18.10863755833437,17.922933305199596
389,18.03263207601857,18.17675187948338
390,18.057078798729012,18.20895040409877
391,18.239785853814606,18.180451967302844
392,18.310859349718946,18.03896290297805
393,18.35787660968671,18.138318278822524
394,17.815408482183212,18.36698385780838
395,17.762658523836528,17.88659371716052
396,17.768475567763367,18.209006900648728
397,17.878261121052958,17.86591898226674
398,18.112230594186435,18.119485407782992
399,17.80302845846071,18.03245345127703
400,18.03599489058644,17.86635634969988
401,18.08296002534592,18.215198136494784
402,17.911974497303074,18.094940924554948
403,17.690771701703753,18.370383826455203
404,17.936840791633873,18.252673713686114
405,18.100334934417194,18.82854327670999
406,17.988313846255352,18.46030641863388
407,17.938353654543377,18.242934595870018
408,18.262152006498546,18.120046120393013
409,18.13854609378436,18.099915901028975
410,17.74814168781504,18.17459921336631
411,17.90703515076107,18.154903624755917
412,18.114114791000645,18.21034586478056
413,17.690329573336022,18.396694906938084
414,18.10998876098204,18.177144335630995
415,17.956950257671643,17.910288303023314
416,17.968653665273074,18.005534076793882
417,18.120844927236337,18.238776978133007
418,17.976283851565327,18.092297161952335
419,17.89350115860496,18.375369953221863
420,18.04881769250109,18.189757322388054
421,18.04561303791172,18.08602633872071
422,18.194390188300883,18.36929846038401
423,18.248651780040333,18.08098263711208
424,17.82987463987315,18.092325156428558
425,17.52343387791581,18.263572567998388
426,18.295046145531373,17.938146645189708
427,18.11726550452924,18.199269459770132
428,18.209412167146418,18.021896662171905
429,18.037972370740793,17.878109131385585
430,17.90250555379523,18.09207705707538
431,18.043275853008108,18.236368624397187
432,18.11083668869309,17.923927843949215
433,18.04044791060413,18.21180870256458
434,18.16998527556684,18.287297961904834
435,18.124446518616104,18.216577773295835
436,17.911988420801563,17.99371786772086
437,18.185258936605052,18.471719316415072
438,18.362557894224754,18.17072597150937
439,18.005428420349926,18.395233989765156
440,17.937501700005047,18.09131320378683
441,18.125506288960295,18.061067710052225
442,18.237783184967288,18.12171759341654
443,17.977368287900134,18.077088497472314
444,18.00339890808705,18.476978170512137
445,17.841845834641195,18.105079545782065
446,18.2578101981696,18.366525313403617
447,18.016260371764343,18.602900687780973
448,17.739798585518347,18.21403632843697
449,18.29868681383963,18.205870409972658
450,17.68895872171917,18.007263235989036
451,18.084948889291354,18.19466222920412
452,17.9719972386737,18.330915325089887
453,18.109827586342103,18.001008541645717
454,17.711929649514698,17.713147293024434
455,18.116710370345064,18.140547479781805
456,17.80235920937168,18.326423838691692
457,18.0523428854516,18.3832984521798
458,18.017941599415735,17.781896045134587
459,18.209571309045746,18.440082839230424
460,18.097322004846255,18.528950194313115
461,17.875568475723,17.782678839989572
462,18.031091648145992,18.31749364995372
463,17.65346219577451,17.967520517631275
464,17.927016866359917,18.009642573618617
465,17.85876516206175,18.17412680906034
466,17.702067751235386,18.282230502551208
467,17.804174505377315,17.923252457782347
468,18.27162680417543,18.46040283179052
469,18.1133036012101,18.072284687700876
470,18.05235405269602,18.7229918008264
471,17.50084486653969,18.37384799131304
472,17.98651956108837,17.794810290240346
473,17.695640525956318,18.08274544002017
474,18.184463449246085,17.89622040344682
475,17.694829061988465,18.1216266481184
476,18.125981982196375,18.3490178614065
477,17.786115388713398,18.023535527763173
478,18.052490030069624,18.027691212574187
479,18.030948188637925,18.129998290842835
480,18.145127165434474,18.353256719070238
481,18.2576525095092,17.843785697732372
482,18.01353779049846,18.14012126610202
483,18.119015599345545,17.840414156559337
484,18.16274475495619,18.139735373135707
485,18.127230256234984,18.0895754829452
486,18.0014082765637,17.761624563581464
487,18.10853659838056,18.289858102598107
488,17.93667291864852,18.03992687817741
489,18.209884922684417,18.17516960418394
490,17.896565621265474,17.98619564838652
491,18.201371863502978,17.910041997022756
492,18.15847915159867,18.051155169548178
493,17.680758247652353,18.133560405538834
494,18.093761138386938,18.52830671984954
495,18.04563919312644,18.040391989514028
496,17.92495942474272,18.216650428963206
497,17.86125013868513,18.254620280261314
498,17.926118878319492,17.995313219517133
499,18.13807253533258,18.280052652359437
500,18.1341877708035,18.217875338942477
501,18.21822582738777,18.121202131208157
502,17.88088062324447,18.36890150189482
503,17.68599840084905,18.158880836535474
504,18.23720666881148,18.25752646961305
505,18.076775474637014,18.19591789584468
506,17.960926348830515,18.014030116264713
507,18.14081264469364,18.506177093468587
508,18.06375931264421,17.95550635127718
509,18.204222621753825,18.009575184025177
510,17.672110185458354,17.93630184696865
511,17.960485847176194,18.18705781676415
512,17.968720853373572,18.275610186051495
513,18.066614956007083,18.395394882668707
514,18.052690338127515,18.19840827834364
515,17.72261457771765,17.892702280687097
516,18.04287328151123,18.26083218747217
517,17.8987454027592,18.14818297641265
518,17.642797478541542,17.86302970987643
519,18.662951281108874,18.19777383296624
520,18.007215181070006,18.217558188014625
521,17.831706893925023,18.12368680001275
522,18.311176851465802,18.281352264952503
523,18.047697691962114,18.062362464112134
524,18.074628519990434,17.795628654101343
525,17.838080437898498,18.44299612984301
526,18.053973380489712,18.08414367698579
527,18.186716956376834,18.192358815487086
528,17.755186659287727,18.104998173740526
529,17.85485126753247,18.643101794524867
530,18.273319490255723,18.15535559249064
531,18.283381597976817,18.317982716802916
532,18.019931916818205,17.85690102543575
533,18.225720781111573,18.31631658175425
534,17.966132442386257,18.246986574150977
535,17.965992259003894,18.112431486024402
536,17.815472088224933,18.21736456737353
537,17.6308269021832,18.13932911305204
538,17.94509815228935,18.15077900958684
539,17.88783998323433,17.984875285776578
540,17.628725886528393,18.462746826315286
541,17.98321000382093,18.077384737599676
542,18.06719184716242,18.267518292158446
543,18.195738487497835,18.455838916352672
544,18.111572284119443,18.09350761555135
545,18.209884278433773,17.982060865260433
546,18.199431907630135,17.885383812115197
