layer,pattern,connective,mean_z,ci_lo,ci_hi
4,TF,and,-0.9119868,-0.9678751781582833,-0.852261035144329
4,TF,or,0.97868484,0.9181290298700333,1.0351350277662277
4,FT,and,-0.8880046,-0.9428790479898452,-0.8281343638896942
4,FT,or,1.0064327,0.9472308993339539,1.072783562541008
4,FF,and,-1.0611783,-1.1182217657566071,-1.0047581106424333
4,FF,or,0.6092425,0.5460308387875557,0.6682309329509735
5,TT,and,-0.02389689,-0.09418170358985663,0.04794665202498435
5,TT,or,1.2308371,1.1676411569118499,1.3072182834148407
5,TF,and,-0.72614515,-0.7940578132867813,-0.6511582806706429
5,TF,or,0.904105,0.8420197665691376,0.9682322084903716
5,FT,and,-0.9038753,-0.9715438902378082,-0.825013929605484
5,FT,or,0.80869967,0.7439521372318267,0.8699361279606819
5,FF,and,-1.2905539,-1.3560526221990585,-1.232745388150215
5,FF,or,0.17630634,0.11021420992910862,0.2411766432225704
6,TT,and,0.0025494099,-0.06696380656212568,0.07695179600268601
6,TT,or,1.2033954,1.1358398348093033,1.274809554219246
6,TF,and,-0.8763496,-0.953979742527008,-0.7957951799035072
6,TF,or,0.79258454,0.7287941619753837,0.8583021283149719
6,FT,and,-0.7610271,-0.8385077998042106,-0.6884839087724686
6,FT,or,0.91738886,0.8559041887521743,0.9792442753911018
6,FF,and,-1.3037217,-1.369431096315384,-1.2351937264204025
6,FF,or,0.15268832,0.08516689501702786,0.22002592980861663
7,TT,and,0.14868486,0.08319422788918018,0.21523519307374953
7,TT,or,1.3040559,1.2375883966684342,1.375378778576851
7,TF,and,-0.90790236,-0.9849734172224999,-0.8383568003773689
7,TF,or,0.6636183,0.5897516772150994,0.7331334799528122
7,FT,and,-0.60767084,-0.6692932188510895,-0.5475974187254906
7,FT,or,0.89812124,0.8258848428726197,0.965343402326107
7,FF,and,-1.364803,-1.4290997713804245,-1.2989861845970154
7,FF,or,-0.031383313,-0.10068605430424213,0.024474354507401583
8,TT,and,0.20903507,0.14766662307083606,0.27466422840952875
8,TT,or,1.3554649,1.2854186028242112,1.4235882699489593
8,TF,and,-0.8239781,-0.8951961517333984,-0.7507260531187058
8,TF,or,0.7555864,0.6844850659370423,0.8252473220229148
8,FT,and,-0.68268144,-0.7472563445568084,-0.6207583859562874
8,FT,or,0.75532097,0.6883260488510132,0.8170241087675094
8,FF,and,-1.4021041,-1.467559462785721,-1.3272863328456879
8,FF,or,-0.09348416,-0.14893541112542152,-0.034958411753177654
9,TT,and,0.22546487,0.1652034219354391,0.28370860442519186
9,TT,or,1.365141,1.2967274099588395,1.4299670934677124
9,TF,and,-0.7780734,-0.8431913256645203,-0.7153858363628387
9,TF,or,0.7642882,0.6950303897261619,0.8292874798178673
9,FT,and,-0.71183944,-0.7746748596429824,-0.6502020925283433
9,FT,or,0.7564103,0.6915055319666863,0.8255145773291588
9,FF,and,-1.4150879,-1.4827022790908813,-1.3496785521507264
9,FF,or,-0.13086903,-0.18447676971554755,-0.07878980338573456
10,TT,and,0.48623046,0.44169224202632906,0.5282298102974892
10,TT,or,1.5374551,1.4841056227684022,1.590568020939827
10,TF,and,-0.7103419,-0.7624990954995156,-0.6619630590081215
10,TF,or,0.6097363,0.5565185382962227,0.6599262237548827
10,FT,and,-0.5726121,-0.619469377398491,-0.5255867391824722
10,FT,or,0.6409057,0.6040485829114914,0.6802545040845871
10,FF,and,-1.6252244,-1.6862657189369201,-1.5741557449102401
10,FF,or,-0.28851452,-0.3285948634147644,-0.24622131176292897
11,TT,and,0.47652382,0.43716032728552817,0.52045459151268
11,TT,or,1.5337226,1.4785985440015792,1.5924941062927247
11,TF,and,-0.6981839,-0.7508620113134384,-0.6478095099329948
11,TF,or,0.6189314,0.5652642786502838,0.6688806101679802
11,FT,and,-0.5991222,-0.6481889486312866,-0.5516279131174088
11,FT,or,0.66067624,0.6189618736505509,0.6982190668582916
11,FF,and,-1.61543,-1.673491683602333,-1.5599270999431611
11,FF,or,-0.27580136,-0.32063276171684263,-0.23461222052574157
12,TT,and,0.511167,0.47066536247730256,0.5517270371317864
12,TT,or,1.5159552,1.4676180481910706,1.5663515746593475
12,TF,and,-0.678496,-0.7298575058579445,-0.6294724538922309
12,TF,or,0.61039525,0.5591121658682823,0.6600189089775086
12,FT,and,-0.62848306,-0.6740130379796028,-0.5836216866970062
12,FT,or,0.67324317,0.6327998474240303,0.7126707449555397
12,FF,and,-1.6228802,-1.6767120838165284,-1.5703563928604125
12,FF,or,-0.27067637,-0.3112156271934509,-0.2270854316651821
13,TT,and,0.5348639,0.500997181236744,0.5677684396505356
13,TT,or,1.5607141,1.5098369657993316,1.6109436392784118
13,TF,and,-0.69176173,-0.7377598255872726,-0.6449596077203751
13,TF,or,0.5903121,0.5502857074141503,0.6371812999248505
13,FT,and,-0.5932446,-0.6357903093099594,-0.547988411784172
13,FT,or,0.6473918,0.6111378967761993,0.6835675746202469
13,FF,and,-1.6514653,-1.7041757375001907,-1.5953492015600204
13,FF,or,-0.29932773,-0.33770313709974287,-0.26416252702474596
14,TT,and,0.54526407,0.5135412529110909,0.5759706750512124
14,TT,or,1.5716952,1.5262531638145447,1.6165507316589356
14,TF,and,-0.69626456,-0.7431167483329773,-0.6519780620932579
14,TF,or,0.60632473,0.5652704179286957,0.6501766994595528
14,FT,and,-0.6038826,-0.6446808606386185,-0.5631304606795311
14,FT,or,0.6052573,0.5700067058205605,0.6450210243463517
14,FF,and,-1.6460733,-1.6992631077766418,-1.5903389781713486
14,FF,or,-0.2859196,-0.3236312814056873,-0.2517466329038143
15,TT,and,0.56168926,0.5319722130894661,0.5884600594639778
15,TT,or,1.5700029,1.5332573175430297,1.6062628775835037
15,TF,and,-0.65967864,-0.7140075296163559,-0.609267869591713
15,TF,or,0.64877,0.6131409555673599,0.6877657279372215
15,FT,and,-0.6138763,-0.6559497579932213,-0.5702885448932647
15,FT,or,0.55133647,0.5202870234847069,0.582073763012886
15,FF,and,-1.6838009,-1.7394039779901505,-1.631722953915596
15,FF,or,-0.28784192,-0.3236242912709713,-0.25205334797501566
16,TT,and,0.56441134,0.5365652829408646,0.5939330503344535
16,TT,or,1.5629562,1.527147215604782,1.5964833199977875
16,TF,and,-0.64162654,-0.6931371718645096,-0.594676998257637
16,TF,or,0.6531147,0.6120339170098305,0.6933788105845451
16,FT,and,-0.63146555,-0.67536641061306,-0.5879509463906288
16,FT,or,0.5540979,0.5216275572776794,0.5875952586531639
16,FF,and,-1.6808171,-1.7379941433668136,-1.6268179416656494
16,FF,or,-0.28898516,-0.32603786438703536,-0.25548978000879285
17,TT,and,0.5548682,0.5256154567003251,0.5839029356837273
17,TT,or,1.5600749,1.5236533910036087,1.5953360617160797
17,TF,and,-0.6537906,-0.7041835084557533,-0.6058079063892365
17,TF,or,0.64515245,0.6087919741868972,0.6812108919024468
17,FT,and,-0.6369556,-0.6753983721137047,-0.5923656538128853
17,FT,or,0.55914587,0.5223845258355141,0.5966947466135025
17,FF,and,-1.6614133,-1.7191083818674087,-1.6077771037817001
17,FF,or,-0.30412686,-0.3406387187540531,-0.27160400077700614
18,TT,and,0.5403973,0.5138588353991509,0.5692791163921356
18,TT,or,1.5581009,1.5151831924915313,1.5968017727136612
18,TF,and,-0.64468324,-0.6968985050916672,-0.5933722615242004
18,TF,or,0.6699316,0.6304268404841423,0.7117991164326668
18,FT,and,-0.6509686,-0.6929055467247963,-0.6087719038128853
18,FT,or,0.57216924,0.5338963761925697,0.6071882233023643
18,FF,and,-1.6410023,-1.6955887168645858,-1.5848812192678452
18,FF,or,-0.34828413,-0.384106470644474,-0.3122049063444138
19,TT,and,0.5479206,0.5183408424258232,0.5784148663282395
19,TT,or,1.5546384,1.5160131067037583,1.589937722682953
19,TF,and,-0.6388104,-0.6922222375869751,-0.5880965098738671
19,TF,or,0.67663956,0.6383487284183502,0.7180362120270729
19,FT,and,-0.6666693,-0.7095672100782394,-0.6265754207968712
19,FT,or,0.56496024,0.5269607052206993,0.604229536652565
19,FF,and,-1.6315097,-1.686013725399971,-1.580541941523552
19,FF,or,-0.35843796,-0.39689804166555404,-0.32043568789958954
20,TT,and,0.5451645,0.5136068776249886,0.5722533538937569
20,TT,or,1.5671637,1.5278970539569854,1.6051665037870406
20,TF,and,-0.65303576,-0.7069659203290939,-0.599761787056923
20,TF,or,0.68154144,0.6409878224134445,0.7190152645111084
20,FT,and,-0.6621195,-0.7029731035232544,-0.6210180684924126
20,FT,or,0.5584794,0.520802517235279,0.5944649666547775
20,FF,and,-1.6213115,-1.6726209819316864,-1.5685185194015503
20,FF,or,-0.3694367,-0.4045113123953342,-0.3327381372451782
21,TT,and,0.5735595,0.5405606091022491,0.6069273322820663
21,TT,or,1.5438156,1.5021793335676192,1.5853240698575974
21,TF,and,-0.66520697,-0.7205591484904289,-0.6118728712201119
21,TF,or,0.6853651,0.6482442393898964,0.7245503202080726
21,FT,and,-0.69046265,-0.7324482545256614,-0.647558705508709
21,FT,or,0.5699675,0.5329684838652611,0.6080295816063881
21,FF,and,-1.6047146,-1.6548223227262497,-1.5533303529024125
21,FF,or,-0.36993206,-0.41009487211704254,-0.3297703415155411
22,TT,and,0.5840036,0.5489370226860046,0.623607437312603
22,TT,or,1.545793,1.5031565815210342,1.5896935135126113
22,TF,and,-0.6672579,-0.7168402388691902,-0.6110521629452705
22,TF,or,0.68985295,0.6472546756267548,0.7287559643387794
22,FT,and,-0.6882074,-0.7285572394728661,-0.6501331478357315
22,FT,or,0.57138383,0.5323375806212425,0.6108511820435524
22,FF,and,-1.5785846,-1.632173526287079,-1.5288703352212907
22,FF,or,-0.39160743,-0.43155293017625806,-0.3521509148180485
23,TT,and,0.59816223,0.5601820260286331,0.640127532184124
23,TT,or,1.5342838,1.4882155269384385,1.5843169271945954
23,TF,and,-0.68589354,-0.7387987658381462,-0.6347076565027236
23,TF,or,0.6942127,0.6545943632721901,0.734345343708992
23,FT,and,-0.69414896,-0.7320613667368889,-0.6523356273770332
23,FT,or,0.5845996,0.5480794414877892,0.623016907274723
23,FF,and,-1.5601294,-1.6121104061603546,-1.5080269545316696
23,FF,or,-0.40294865,-0.4432955548167229,-0.3656829252839089
24,TT,and,0.6035834,0.5650484874844551,0.6446635887026787
24,TT,or,1.5180578,1.4708842486143112,1.566406950354576
24,TF,and,-0.6864618,-0.7439215376973152,-0.6359678193926812
24,TF,or,0.69879514,0.6559517621994019,0.739061850309372
24,FT,and,-0.7109671,-0.7511479303240776,-0.669574148952961
24,FT,or,0.5939777,0.5597647622227668,0.631757590174675
24,FF,and,-1.543141,-1.6016576081514358,-1.483648219704628
24,FF,or,-0.42043152,-0.45951943174004556,-0.37789151072502136
25,TT,and,0.6246637,0.5816688448190689,0.664141058921814
25,TT,or,1.5097486,1.4625450372695923,1.5626697391271591
25,TF,and,-0.6793218,-0.7351874589920044,-0.6265145465731621
25,TF,or,0.69911957,0.6606542944908143,0.7431851550936699
25,FT,and,-0.7258701,-0.7687435135245323,-0.677903525531292
25,FT,or,0.59505475,0.5612051546573639,0.6317370474338532
25,FF,and,-1.527079,-1.5826602309942246,-1.470368155837059
25,FF,or,-0.435953,-0.4781526230275631,-0.39598054587841036
26,TT,and,0.6197693,0.5811908274888993,0.6564420223236084
26,TT,or,1.5020065,1.4414567619562149,1.5606035530567168
26,TF,and,-0.6547619,-0.7034297853708267,-0.6039660677313805
26,TF,or,0.6875952,0.6417669206857681,0.7361947849392891
26,FT,and,-0.73754615,-0.7842957332730294,-0.6902135640382767
26,FT,or,0.60886747,0.573438911139965,0.6488347187638283
26,FF,and,-1.5253055,-1.5854957044124602,-1.4633362025022507
26,FF,or,-0.45158088,-0.49514640048146247,-0.40978736355900763
27,TT,and,0.64535296,0.6047824218869209,0.6894018545746803
27,TT,or,1.4602798,1.4082222044467927,1.5201938986778258
27,TF,and,-0.656723,-0.7053515896201134,-0.6019129261374474
27,TF,or,0.70229506,0.6490897417068482,0.7516821995377541
27,FT,and,-0.74388826,-0.7910396486520768,-0.6967496037483215
27,FT,or,0.6230466,0.5877015128731727,0.659529460966587
27,FF,and,-1.5205755,-1.5844197660684585,-1.4614321142435074
27,FF,or,-0.46586022,-0.5083200037479401,-0.4216142199933529
