direction,layer,auroc_mean,auroc_ci_lo,auroc_ci_hi,balanced_acc_mean,balanced_acc_ci_lo,balanced_acc_ci_hi
or->and,4,0.5844533333333333,0.5655773736788419,0.6033292929878247,0.5023333333333333,0.4986458955323203,0.5060207711343463
or->and,5,0.7244533333333334,0.7093360182053541,0.7395706484613127,0.5001666666666666,0.49970392581580036,0.5006294075175329
or->and,6,0.7293066666666667,0.7129716894888952,0.7456416438444381,0.5013333333333334,0.5004078516316008,0.502258815035066
or->and,7,0.7975966666666667,0.7855704944353262,0.8096228388980072,0.5333333333333333,0.5164575608641863,0.5502091058024804
or->and,8,0.8166416666666667,0.8024421222802853,0.8308412110530481,0.5051666666666668,0.4942308951076376,0.5161024382256959
or->and,9,0.8028533333333334,0.7896156394839368,0.8160910271827301,0.5126666666666666,0.5006799814373977,0.5246533518959355
or->and,10,0.958755,0.955608408148279,0.9619015918517211,0.7038333333333332,0.6769545021322929,0.7307121645343735
or->and,11,0.9571916666666667,0.9514218337745723,0.962961499558761,0.5916666666666666,0.5612434351913801,0.622089898141953
or->and,12,0.9628533333333333,0.9563111750926296,0.969395491574037,0.5881666666666667,0.5632108161906086,0.6131225171427248
or->and,13,0.9662200000000001,0.9645002685919623,0.9679397314080379,0.5961666666666666,0.5715977855571115,0.6207355477762218
or->and,14,0.9708350000000001,0.9673835813594275,0.9742864186405727,0.5555,0.5305527313159688,0.5804472686840312
or->and,15,0.9800599999999999,0.9780007070281863,0.9821192929718136,0.5346666666666666,0.5200591465750236,0.5492741867583096
or->and,16,0.9826866666666667,0.9797843868159704,0.9855889465173631,0.5146666666666666,0.5069028183773502,0.522430514955983
or->and,17,0.9821366666666667,0.980078749314294,0.9841945840190394,0.5048333333333332,0.5023629731957777,0.5073036934708888
or->and,18,0.9785933333333332,0.9739048104688856,0.9832818561977809,0.5,0.5,0.5
or->and,19,0.9753299999999999,0.9728513909301391,0.9778086090698608,0.5,0.5,0.5
or->and,20,0.9655433333333333,0.9608589055123333,0.9702277611543333,0.5,0.5,0.5
or->and,21,0.9601916666666668,0.9553517866862287,0.9650315466471049,0.5,0.5,0.5
or->and,22,0.9244216666666667,0.9068949261229781,0.9419484072103553,0.5,0.5,0.5
or->and,23,0.9054683333333333,0.8864355816249696,0.924501085041697,0.5003333333333334,0.4997665938494515,0.5009000728172153
or->and,24,0.8530516666666665,0.8339206181135721,0.872182715219761,0.5011666666666666,0.49998690435251475,0.5023464289808185
or->and,25,0.8527266666666666,0.8285750402322821,0.8768782931010511,0.5013333333333334,0.49994511078073456,0.5027215558859323
or->and,26,0.8237916666666667,0.8032951628136215,0.844288170519712,0.5001666666666666,0.49970392581580036,0.5006294075175329
or->and,27,0.8146716666666668,0.796014160707014,0.8333291726263196,0.5005000000000001,0.49957451829826743,0.5014254817017326
