layer,compression_factor,cities_std,compound_std,b1_i,b2_i,r2_i,b1_ii,b2_ii,r2_ii,or_only_threshold_displacement,b1_i_ci_lo,b1_i_ci_hi,b2_i_ci_lo,b2_i_ci_hi,b1_ii_ci_lo,b1_ii_ci_hi,b2_ii_ci_lo,b2_ii_ci_hi,compression_factor_ci_lo,compression_factor_ci_hi,or_only_majority_baseline,or_only_accuracy,or_only_accuracy_deficit
10,0.31530365,6.317809,1.9920282,0.11952225863933563,0.21210233867168427,0.5832796096801758,0.3790704607963562,0.6726924180984497,0.5832796096801758,-0.77362716,0.10862409509718418,0.12977787107229233,0.20165031217038631,0.222316974401474,0.34858147501945497,0.40923178270459176,0.6474347606301307,0.6985470667481423,0.3043313704431057,0.3255089193582535,0.75,0.26,0.49
11,0.24503191,6.030394,1.477639,0.08630839735269547,0.15518556535243988,0.5146234631538391,0.35223332047462463,0.6333279609680176,0.5146234631538391,-0.6011722,0.0783481264486909,0.09528898987919092,0.1470994882285595,0.16387467198073863,0.3221829444169998,0.38277004212141036,0.6088207989931107,0.658544710278511,0.23685466796159743,0.25405085310339925,0.75,0.2575,0.4925
12,0.26442885,6.164886,1.6301737,0.08289246261119843,0.164907306432724,0.47858214378356934,0.3134773075580597,0.6236359477043152,0.4785822033882141,-0.62613505,0.0728355273604393,0.09202841483056545,0.15540492087602614,0.1742917478084564,0.27851948514580727,0.34587826058268545,0.5986359179019928,0.6531385228037834,0.25542877465486524,0.27236306965351104,0.75,0.26,0.49
13,0.23830223,6.9562926,1.6577001,0.050342049449682236,0.16854475438594818,0.5417527556419373,0.21125291287899017,0.7072731852531433,0.541752815246582,-0.61987555,0.042866650223732,0.0577596815302968,0.16128322593867778,0.17644363157451154,0.18017746582627298,0.24124113842844963,0.6862829193472862,0.7279783889651299,0.2315104402601719,0.24572087861597539,0.75,0.25375,0.49625
14,0.16502266,7.5050683,1.2385063,0.05537226423621178,0.10388924926519394,0.5024506449699402,0.33554333448410034,0.6295453310012817,0.5024506449699402,-0.28391668,0.04954312583431601,0.06097773648798466,0.09821989834308624,0.10984984729439021,0.30263619422912597,0.3672952450811863,0.6039980709552765,0.6557316750288009,0.15972240678966046,0.17042429707944393,0.75,0.2675,0.4825
15,0.22311562,7.547707,1.6840113,0.08820927143096924,0.13556864857673645,0.5212253332138062,0.395352303981781,0.6076161861419678,0.5212253332138062,-0.3410321,0.08065187148749828,0.09510228279978036,0.12757586501538754,0.1427548598498106,0.36445277109742164,0.4246768578886986,0.5807297721505165,0.6325261354446411,0.21590449325740338,0.2299183864146471,0.75,0.2675,0.4825
16,0.23976694,7.61675,1.8262448,0.09546970576047897,0.11759006232023239,0.39292824268341064,0.3981771469116211,0.49043482542037964,0.39292818307876587,-0.2962948,0.08621613662689924,0.10439177025109529,0.10832436960190535,0.12630014978349208,0.3640393175184727,0.43094832003116607,0.45761810466647146,0.5218120634555816,0.2323973670601845,0.24665896445512772,0.75,0.275,0.475
17,0.23916434,7.957055,1.9030439,0.10038015991449356,0.12824933230876923,0.4568006992340088,0.4197121560573578,0.536239504814148,0.45680075883865356,-0.3504988,0.0920051360502839,0.10898968540132045,0.11957587786018849,0.13647923655807973,0.3877996005117893,0.45287408083677294,0.5053996115922927,0.5648060441017151,0.23221524842083455,0.2464233200997114,0.75,0.26625,0.48375
18,0.23138244,7.95919,1.8416169,0.10644108802080154,0.10717542469501495,0.41941767930984497,0.4600222706794739,0.4631960093975067,0.41941773891448975,-0.33000588,0.09783501364290714,0.11552402172237634,0.09880278632044792,0.11595856230705977,0.4293890081346035,0.49181677401065826,0.4312966033816338,0.49531159177422523,0.22402996346354484,0.2386048946529627,0.75,0.27625,0.47375
19,0.27919853,8.148871,2.275153,0.14150896668434143,0.1032741591334343,0.3847564458847046,0.5068399906158447,0.36989501118659973,0.3847564458847046,-0.564767,0.13063728921115397,0.15207093618810177,0.09256381578743458,0.11406190153211355,0.47429214119911195,0.5382890716195107,0.335064048320055,0.40353368148207663,0.2705289475619793,0.2874160148203373,0.75,0.25375,0.49625
20,0.31949386,8.107741,2.5903735,0.1560669243335724,0.10398603230714798,0.33698368072509766,0.4884818196296692,0.32547125220298767,0.33698374032974243,-0.48858073,0.14306445196270942,0.1686388574540615,0.09224181193858386,0.11658647786825896,0.4563607059419155,0.5206442341208458,0.2911141075193882,0.3633983090519905,0.30918810367584226,0.3294261544942856,0.75,0.2775,0.4725
21,0.322645,8.449291,2.7261217,0.16561150550842285,0.08654528111219406,0.32792818546295166,0.5132932662963867,0.26823684573173523,0.3279281258583069,-0.4656202,0.15341749414801598,0.17777054347097873,0.07327300515025854,0.0986128743737936,0.4829370841383934,0.5427911162376403,0.2273827962577343,0.3037723921239376,0.31235369071364405,0.3328842379152775,0.75,0.28375,0.46625
22,0.27545965,8.722187,2.4026105,0.1381705105304718,0.07088342308998108,0.3103595972061157,0.5015998482704163,0.2573277950286865,0.31035953760147095,-0.51842576,0.1267621424049139,0.14892168082296847,0.06059642033651471,0.08196275345981122,0.46719036623835564,0.5330568641424179,0.22259191758930683,0.29717076644301416,0.26587510406970977,0.28444643020629884,0.75,0.27,0.48
23,0.26467022,8.981775,2.3772085,0.12493107467889786,0.07095162570476532,0.28708523511886597,0.4720253646373749,0.268075555562973,0.2870851755142212,-0.5920701,0.11470493208616972,0.13622023165225983,0.059999582916498186,0.08171211574226618,0.44011342227458955,0.505940169095993,0.23016244359314442,0.30576473399996756,0.2554942823946476,0.2744238249957561,0.75,0.26875,0.48125
24,0.30692992,9.603338,2.9475517,0.14889948070049286,0.08649230748414993,0.30622291564941406,0.48512518405914307,0.2817983031272888,0.30622291564941406,-0.8375489,0.13592919819056987,0.16120461896061897,0.07426561303436756,0.09896761644631624,0.4508774623274803,0.5174525991082192,0.24157469980418683,0.32032971233129504,0.2962578281760216,0.3174641452729702,0.75,0.25125,0.49875
25,0.3119668,9.8075905,3.0596428,0.15521228313446045,0.09087738394737244,0.32457274198532104,0.497528076171875,0.29130467772483826,0.32457274198532104,-0.83608836,0.14368047825992109,0.16743754632771013,0.07839803583920002,0.10271350778639317,0.4678750492632389,0.5295445621013641,0.25234152749180794,0.3253882251679897,0.3010616473853588,0.32195058688521383,0.75,0.25,0.5
26,0.33823308,9.958451,3.3682775,0.15435726940631866,0.09473012387752533,0.28055328130722046,0.4563637375831604,0.28007346391677856,0.2805532217025757,-0.8869521,0.14016703590750695,0.16783677674829958,0.08135257195681334,0.10851900465786457,0.42130006328225134,0.49081140384078026,0.24162489883601665,0.31718601658940315,0.32550167441368105,0.3504675254225731,0.75,0.25125,0.49875
27,0.42275408,10.3092375,4.358272,0.19445697963237762,0.10715177655220032,0.2709980607032776,0.4599766135215759,0.25346121191978455,0.2709980607032776,-1.0667276,0.17746468782424926,0.21217605993151664,0.08957829736173153,0.12411040142178535,0.42713502496480943,0.4939633697271347,0.21323524303734304,0.29031787291169164,0.4084660582244396,0.4367437086999416,0.75,0.25,0.5
