layer,connective,b1,b1_ci_lo,b1_ci_hi,b2,b2_ci_lo,b2_ci_hi,intercept,r2,r2_ci_lo,r2_ci_hi,b2_over_b1
0,or,0.2430668,0.22211266309022903,0.26298345923423766,0.6748076,0.655597697198391,0.6947805508971214,0.022964105,0.8905536532402039,0.8758521229028702,0.9061954602599144,2.776223
1,or,-0.023620814,-0.08387028612196445,0.03950241301208734,0.06725125,-0.019180836528539656,0.15828785821795463,0.175553,0.00422823429107666,0.0001658812165260315,0.022444887459278105,-2.8471181
2,or,0.15679239,0.07691991925239564,0.23764320984482765,0.28345123,0.1937568999826908,0.37890548557043074,-1.0363057,0.07717210054397583,0.04273412972688675,0.12688719183206557,1.8078125
3,or,0.07938997,-0.00802265910897404,0.16293470673263072,0.15749373,0.09181771837174893,0.24363502785563468,-0.14474058,0.028965890407562256,0.011020874977111817,0.06474758982658385,1.9837989
4,or,0.02347075,-0.055947239696979525,0.09785689041018486,0.09452857,0.024603964062407613,0.17431060336530207,-0.015397219,0.01250767707824707,0.0017853721976280213,0.04193017333745956,4.0275054
5,or,0.2795356,0.24119314402341843,0.3157680906355381,0.14307621,0.09734168723225593,0.18677301071584224,-0.70391524,0.2436566948890686,0.19261332899332045,0.2992484152317047,0.5118354
6,or,0.14649874,0.10696807056665421,0.18279569819569585,0.28152156,0.237952895835042,0.3266392886638641,-0.43262675,0.26514339447021484,0.20122203528881072,0.332710799574852,1.9216654
7,or,0.08891607,0.04841016652062535,0.1262318767607212,0.3592796,0.3154783919453621,0.4032593801617622,-1.040585,0.31445425748825073,0.2535583108663559,0.3754869759082794,4.04066
8,or,0.1284083,0.10269733425229788,0.15466571263968945,0.20925395,0.181080599501729,0.23751995675265788,-1.3129114,0.3077216148376465,0.2525570452213287,0.37020116597414016,1.6295984
9,or,0.13826628,0.10815368201583624,0.16604846753180028,0.20241791,0.1738976899534464,0.2328413989394903,-1.3385488,0.2955377697944641,0.2421669527888298,0.3532181575894356,1.4639716
10,or,0.121042654,0.10594493243843317,0.13620516322553158,0.19392024,0.1787024736404419,0.20868582241237163,-0.6391074,0.5293639898300171,0.4812360942363739,0.5750173106789589,1.6020819
11,or,0.09037078,0.07809721548110246,0.1034616084769368,0.14007348,0.1278063528239727,0.1525474924594164,-0.4737102,0.4802188277244568,0.4324321553111076,0.5268056139349937,1.5499864
12,or,0.08130375,0.06796660199761391,0.09486668519675731,0.1501681,0.1368168391287327,0.16373809911310672,-0.48008433,0.45640891790390015,0.40709414929151533,0.5088918611407279,1.847001
13,or,0.050073564,0.04066461045295,0.059611047618091106,0.13955162,0.13002463802695274,0.1496622372418642,-0.4889307,0.5033391714096069,0.4561770960688591,0.552686995267868,2.7869322
14,or,0.049708746,0.04351300690323114,0.05644594524055719,0.078319095,0.07185016442090272,0.08506882004439831,-0.113297194,0.4566843509674072,0.41256581991910934,0.5043320015072823,1.5755596
15,or,0.0901757,0.0831051466986537,0.09703975655138493,0.0996555,0.09248857572674751,0.1075552947819233,-0.1741845,0.6134209632873535,0.5745826035737991,0.6548758387565613,1.1051259
16,or,0.09012309,0.08187559563666583,0.09790097065269947,0.0773872,0.06948078591376543,0.08544129282236099,-0.12875004,0.5217412710189819,0.4764158338308334,0.5669365853071213,0.8586834
17,or,0.084395565,0.07687239181250334,0.09298142325133085,0.09341738,0.08544578086584806,0.10125671010464429,-0.1825653,0.5371323823928833,0.4963896095752716,0.5813772529363632,1.1068991
18,or,0.08656196,0.07890745438635349,0.09562901929020881,0.063599564,0.055029872618615625,0.07147134263068437,-0.1920296,0.43796640634536743,0.3920582979917526,0.4886774837970734,0.73472875
19,or,0.12184335,0.11287223510444164,0.13096049018204212,0.06412483,0.053860494308173655,0.07362934835255146,-0.4200776,0.490074098110199,0.448094442486763,0.5359580263495445,0.5262891
20,or,0.12471683,0.11275854520499706,0.13618681207299232,0.0669031,0.05458104507997632,0.07734014298766852,-0.35203794,0.4035305976867676,0.3566801741719246,0.4514070317149162,0.53644
21,or,0.12017076,0.10770097505301238,0.13225499130785465,0.049004603,0.037371504958719014,0.061033188924193384,-0.32613364,0.36074334383010864,0.31190486550331115,0.41186729967594143,0.4077914
22,or,0.1029926,0.09110469073057174,0.11622305158525705,0.039918166,0.027444958733394743,0.05232881279662251,-0.38851124,0.26461726427078247,0.21918924003839493,0.31868174821138384,0.38758284
23,or,0.08020578,0.06667535100132227,0.09350276179611683,0.040601987,0.024857858102768658,0.055005110893398525,-0.47000483,0.1493600606918335,0.11002956479787826,0.19300091862678528,0.50622267
24,or,0.10577638,0.09116266779601574,0.11976266913115978,0.051134087,0.03536086669191718,0.06577918622642755,-0.71949804,0.23446869850158691,0.18690434992313384,0.282736761868,0.4834169
25,or,0.11406135,0.10023139920085669,0.12798030823469161,0.06467854,0.05023223320022226,0.07972094435244799,-0.7125587,0.28649264574050903,0.2422603577375412,0.33573743104934695,0.56705046
26,or,0.09309956,0.07784758992493153,0.10842847377061844,0.062026355,0.04636141378432512,0.07696402464061976,-0.77555275,0.19486159086227417,0.15428386330604554,0.24196746051311493,0.6662369
27,or,0.11082691,0.09522971492260694,0.12761811837553977,0.0664026,0.04997033448889852,0.08364287260919809,-0.9796827,0.20404458045959473,0.16407730281352997,0.24866691678762437,0.5991559
