layer,train_set,eval_set,label_scheme,accuracy,auroc,n,base_rate
21,cities,sp_en_trans,single,0.903954802259887,0.9703469628778449,354,0.5
21,cities,compound_cities,pooled,0.5325,0.54085,1600,0.5
21,cities,compound_cities,and_only,0.78125,0.9191333333333334,800,0.25
21,cities,compound_cities,or_only,0.28375,0.7725416666666668,800,0.75
21,cities,compound_cities,conjunct_count,0.77375,0.7884583333333333,1600,0.25
22,cities,neg_cities,single,0.49933155080213903,0.16866188624210013,1496,0.5
22,cities,sp_en_trans,single,0.6497175141242938,0.9613137987168439,354,0.5
22,cities,compound_cities,pooled,0.538125,0.5753578125000001,1600,0.5
22,cities,compound_cities,and_only,0.80625,0.8595083333333333,800,0.25
22,cities,compound_cities,or_only,0.27,0.7326000000000001,800,0.75
22,cities,compound_cities,conjunct_count,0.783125,0.7820979166666666,1600,0.25
23,cities,neg_cities,single,0.4979946524064171,0.19159291086390806,1496,0.5
23,cities,sp_en_trans,single,0.5932203389830508,0.9406620064477001,354,0.5
23,cities,compound_cities,pooled,0.528125,0.6416296875,1600,0.5
23,cities,compound_cities,and_only,0.7875,0.838875,800,0.25
23,cities,compound_cities,or_only,0.26875,0.6757250000000001,800,0.75
23,cities,compound_cities,conjunct_count,0.773125,0.7754625,1600,0.25
24,cities,neg_cities,single,0.49933155080213903,0.2250636277846092,1496,0.5
24,cities,sp_en_trans,single,0.53954802259887,0.9238724504452743,354,0.5
24,cities,compound_cities,pooled,0.521875,0.567134375,1600,0.5
24,cities,compound_cities,and_only,0.7925,0.8629583333333334,800,0.25
24,cities,compound_cities,or_only,0.25125,0.7194166666666668,800,0.75
24,cities,compound_cities,conjunct_count,0.771875,0.7738437499999999,1600,0.25
25,cities,neg_cities,single,0.49933155080213903,0.2717085132545969,1496,0.5
25,cities,sp_en_trans,single,0.596045197740113,0.9236809345973379,354,0.5
25,cities,compound_cities,pooled,0.515625,0.587596875,1600,0.5
25,cities,compound_cities,and_only,0.78125,0.8471166666666667,800,0.25
25,cities,compound_cities,or_only,0.25,0.7538166666666667,800,0.75
25,cities,compound_cities,conjunct_count,0.765625,0.79038125,1600,0.25
26,cities,neg_cities,single,0.49933155080213903,0.27833759901627153,1496,0.5
26,cities,sp_en_trans,single,0.6666666666666666,0.9268728653962782,354,0.5
26,cities,compound_cities,pooled,0.51875,0.5421609375,1600,0.5
26,cities,compound_cities,and_only,0.78625,0.8511,800,0.25
26,cities,compound_cities,or_only,0.25125,0.7122833333333334,800,0.75
26,cities,compound_cities,conjunct_count,0.76875,0.7573937500000001,1600,0.25
27,cities,neg_cities,single,0.49933155080213903,0.33358295919242753,1496,0.5
27,cities,sp_en_trans,single,0.8022598870056498,0.8789939034121741,354,0.5
27,cities,compound_cities,pooled,0.524375,0.5060546875,1600,0.5
27,cities,compound_cities,and_only,0.79875,0.8730666666666667,800,0.25
27,cities,compound_cities,or_only,0.25,0.718625,800,0.75
27,cities,compound_cities,conjunct_count,0.774375,0.7425812500000001,1600,0.25
