label_scheme,layer,auroc_mean,auroc_ci_lo,auroc_ci_hi
and_only,18,0.8994283333333334,0.8899733118947832,0.9088833547718835
and_only,19,0.8666833333333333,0.8580024888706377,0.8753641777960288
and_only,20,0.7942716666666667,0.7789845801998424,0.809558753133491
and_only,21,0.7938683333333332,0.776734166211201,0.8110025004554654
and_only,22,0.778955,0.7514990761676942,0.8064109238323057
and_only,23,0.7868899999999999,0.7679703571767593,0.8058096428232404
and_only,24,0.8101583333333334,0.7839164051460118,0.836400261520655
and_only,25,0.82365,0.804110536751055,0.843189463248945
and_only,26,0.8187583333333333,0.7911291847911749,0.8463874818754916
and_only,27,0.8507999999999999,0.8296807146551609,0.8719192853448389
or_only,0,0.515615,0.5067763245033428,0.5244536754966573
or_only,1,0.4797016666666667,0.4631909096967183,0.4962124236366151
or_only,2,0.598815,0.5945864283778491,0.6030435716221508
or_only,3,0.49117333333333335,0.48312860194040136,0.49921806472626534
or_only,4,0.48044833333333337,0.47646506852894505,0.4844315981377217
or_only,5,0.5589666666666666,0.55298958440615,0.5649437489271832
or_only,6,0.6647116666666667,0.6599988004658025,0.6694245328675309
or_only,7,0.7108500000000001,0.7066975615140325,0.7150024384859677
or_only,8,0.717115,0.6996685278367494,0.7345614721632505
or_only,9,0.6835066666666667,0.6687480562955261,0.6982652770378073
or_only,10,0.7485000000000002,0.735649937773694,0.7613500622263063
or_only,11,0.7290633333333333,0.7127985476580568,0.7453281190086097
or_only,12,0.7022950000000001,0.6833168225543653,0.7212731774456349
or_only,13,0.737635,0.7234298066391831,0.751840193360817
or_only,14,0.7102933333333334,0.69158712329382,0.7289995433728469
or_only,15,0.8051983333333332,0.7916722464969844,0.818724420169682
or_only,16,0.77012,0.7494513332188855,0.7907886667811146
or_only,17,0.8187733333333336,0.8011383295936392,0.836408337073028
or_only,18,0.7832783333333333,0.7586089630111225,0.8079477036555441
or_only,19,0.7768400000000002,0.744569985834819,0.8091100141651814
or_only,20,0.7719,0.7354831498238704,0.8083168501761296
or_only,21,0.6852716666666667,0.6706302532788581,0.6999130800544754
or_only,22,0.7008483333333334,0.6792794722330451,0.7224171944336217
or_only,23,0.61823,0.5968161870160369,0.639643812983963
or_only,24,0.6723116666666668,0.6493296426577886,0.6952936906755449
or_only,25,0.7311599999999998,0.714711288520659,0.7476087114793406
or_only,26,0.6839833333333334,0.6683203518487837,0.6996463148178831
or_only,27,0.7171100000000001,0.7033270355732983,0.7308929644267019
conjunct_count,0,0.5246925,0.5210460686046051,0.5283389313953949
conjunct_count,1,0.5124991666666666,0.5029592038895403,0.5220391294437929
conjunct_count,2,0.5785324999999999,0.5743978246408109,0.5826671753591889
conjunct_count,3,0.5362875,0.5254419744428627,0.5471330255571374
